	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
0	AmericanHealthCareAct	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2
1	China	0	2	1	0	0	0	1	2	3	0	0	0	1	0	0	0	0	0	0	0	40	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	3	0	0
2	ConsumerPermission	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	EPA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
4	FCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
5	Healthcare	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	33	0	0	0	0	0	0	3	0	0	3	0	0	0	0	10
6	HouseofRepresentatives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
7	ISP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
8	InternetHistory	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0
9	InternetUser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
10	Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0
11	Missile	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
12	Navarro	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
13	Ryan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0
14	SensitiveInformation	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	1	2	0	3	4	8	0	15	0	0	0	0	0	0	0	0	0	0	0
15	Travelban	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
16	VPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
17	administration	0	0	1	1	1	0	1	0	0	1	2	2	2	2	1	0	3	1	2	4	1	1	2	3	6	4	0	2	1	1	4	1	3	1	0	1	2	0	0	3
18	agenda	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	americanEnergy	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
20	attorneyGeneral	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21	autoManufacturing	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0
22	barackObama	1	0	3	0	4	0	0	3	0	0	7	2	6	2	1	0	4	0	6	1	7	3	2	7	1	7	0	4	0	0	0	4	3	0	2	0	0	0	3	0
23	bill	0	0	0	0	0	0	0	0	1	0	0	30	0	0	12	0	1	1	1	0	0	0	0	0	19	0	0	0	5	0	0	0	2	0	3	0	0	0	1	5
24	border	0	0	0	0	0	0	2	1	0	0	0	0	0	0	7	0	0	8	1	0	0	0	0	0	1	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0
25	budgetCuts	0	1	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0
26	business	0	0	0	6	0	2	2	2	3	0	0	0	0	16	0	2	0	0	6	0	0	1	2	0	8	0	0	0	0	0	4	16	0	0	0	0	0	1	0	6
27	campaign	1	0	0	0	2	0	0	1	2	1	1	0	0	3	0	4	2	2	9	0	0	3	1	0	6	4	0	1	0	3	0	0	2	0	0	0	1	1	0	0
28	cleanEnergy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
